y_true,y_pred
20.5,20.454103
21.5,21.197851
7.4,8.485955
20.8,25.006926
22.2,20.232256
32.2,30.033232
16.3,12.751109
31.7,31.445442
19.1,21.589674
19.8,19.769918
24.0,25.601946
14.1,14.539393
22.7,20.851667
37.2,31.439625
26.6,26.349388
8.8,10.674927
11.8,15.355455
50.0,43.328835
8.3,10.514162
29.8,27.692383
31.2,29.116322
14.5,16.49747
25.0,22.3026
20.7,22.015827
8.5,14.021938
21.2,21.158678
18.5,17.624966
23.6,27.60662
23.0,22.72538
18.5,18.679201
16.8,20.434525
21.4,21.891365
14.5,15.341215
17.7,18.483578
8.4,11.010234
11.7,15.546923
21.7,20.136108
14.3,15.7692995
21.2,21.80787
13.1,15.683451
33.2,30.363317
18.9,21.18399
23.1,21.448065
11.5,13.982826
18.3,19.671919
18.4,15.860846
33.0,25.0019
16.1,19.396147
36.2,30.122454
17.5,17.541933
18.8,19.593931
19.6,17.466558
35.4,30.428774
17.4,16.774143
23.9,24.00977
21.9,20.375824
19.0,20.516737
21.4,22.85535
13.8,11.897567
43.8,35.771034
39.8,33.73275
34.6,29.125017
19.9,17.028164
15.3,16.606058
17.1,18.502476
24.8,23.694399
15.7,18.927645
18.0,18.79547
50.0,39.668648
31.6,26.100018
26.2,24.863527
8.5,9.17133
23.7,26.085579
21.1,20.776913
36.0,32.818855
18.3,18.998554
24.8,22.014587
12.3,12.901942
18.5,18.046797
8.4,10.030357
17.4,21.210094
17.0,18.962729
14.4,14.003639
19.9,20.512827
19.5,18.424448
20.0,19.15595
25.0,23.872019
16.1,16.184677
18.6,20.565592
14.9,14.844277
19.4,17.63641
16.0,16.324734
26.6,25.714254
16.5,16.955196
19.3,19.133934
7.2,9.019106
20.2,17.878437
20.6,19.618937
15.6,18.75443
16.4,16.95862
20.3,20.756237
13.9,13.265901
