y_true,y_pred
7.5,11.12076
20.5,20.567087
18.0,18.846664
12.7,13.770212
26.7,29.239817
15.4,12.667111
24.5,22.39702
23.9,23.489471
19.1,19.80431
22.6,24.829018
16.3,13.334139
20.5,19.60278
17.0,17.03953
20.4,19.285408
29.1,26.851725
34.7,30.661541
18.7,17.395264
21.4,19.66106
31.5,30.79664
14.8,13.710095
17.8,14.694112
11.8,14.619064
24.8,23.558365
26.4,22.685583
21.1,20.835886
36.0,36.91253
16.5,17.407785
21.2,21.0993
17.2,18.116045
21.7,22.546946
8.8,10.4683
14.9,14.928797
17.1,18.983734
36.1,35.743187
23.5,24.585386
30.7,31.163504
16.4,16.156372
27.0,32.474503
42.8,35.318687
24.8,24.809765
36.2,28.695929
22.6,21.864887
27.1,25.43604
35.4,35.191307
12.7,13.373204
35.4,33.71642
13.8,17.039778
20.3,21.680103
26.6,25.77739
32.4,33.735374
32.0,30.809177
22.7,19.770893
19.6,19.757946
20.9,19.390057
30.5,27.532887
15.3,17.564579
22.9,21.433367
34.6,32.702545
26.5,24.489017
19.9,18.457197
41.7,42.71705
21.4,19.580482
21.5,19.429386
33.0,25.850971
15.4,15.991405
23.9,25.043385
24.5,26.20936
21.6,22.393744
50.0,47.2539
15.2,16.0734
20.3,20.998806
21.2,20.98014
50.0,45.81054
32.9,33.006073
37.6,41.489918
26.4,25.354883
23.0,26.291452
27.5,37.449966
19.1,14.834669
30.3,29.374231
20.6,19.03703
50.0,48.172638
13.8,10.327845
20.0,18.697035
50.0,29.029211
18.9,19.697031
20.6,20.278574
18.6,19.907162
44.0,39.669147
8.7,9.230669
42.3,41.389545
34.9,34.418873
36.5,35.55636
16.7,15.031027
31.5,34.14826
46.7,43.3785
10.9,13.033565
20.0,21.26808
16.6,15.148058
23.9,24.704725
22.0,22.411613
32.2,30.831823
