y_true,y_pred
20.5,20.81407
21.5,20.684303
7.4,8.903332
20.8,29.121675
22.2,21.398607
32.2,29.968962
16.3,10.808042
31.7,31.976755
19.1,19.976795
19.8,20.257137
24.0,25.762798
14.1,14.544914
22.7,23.928373
37.2,29.226818
26.6,25.042685
8.8,9.35481
11.8,13.593183
50.0,44.715717
8.3,10.57983
29.8,27.908258
31.2,27.58964
14.5,16.040806
25.0,21.190386
20.7,22.248959
8.5,12.441874
21.2,21.887003
18.5,17.264555
23.6,26.461958
23.0,22.234722
18.5,17.60317
16.8,20.389786
21.4,21.189924
14.5,14.488218
17.7,18.098167
8.4,12.093166
11.7,13.333961
21.7,21.674034
14.3,15.16706
21.2,20.600187
13.1,15.024828
33.2,31.38308
18.9,19.762442
23.1,18.998798
11.5,12.62398
18.3,19.523249
18.4,14.824251
33.0,25.79792
16.1,18.92211
36.2,29.265297
17.5,18.724546
18.8,19.843214
19.6,16.837503
35.4,30.297108
17.4,16.352285
23.9,23.850634
21.9,20.304543
19.0,20.548157
21.4,21.72394
13.8,10.680606
43.8,36.4342
39.8,33.32904
34.6,27.090893
19.9,17.081758
15.3,19.904728
17.1,18.60684
24.8,22.44357
15.7,17.315733
18.0,16.828653
50.0,40.78558
31.6,27.710012
26.2,24.502523
8.5,9.1712
23.7,28.38849
21.1,20.972237
36.0,33.68998
18.3,19.32859
24.8,24.68152
12.3,11.644647
18.5,18.515621
8.4,10.353885
17.4,19.887682
17.0,20.649746
14.4,13.953807
19.9,20.905472
19.5,17.177835
20.0,16.148813
25.0,24.595623
16.1,14.670798
18.6,21.075735
14.9,12.925
19.4,17.189268
16.0,16.012333
26.6,24.613762
16.5,20.720037
19.3,16.540184
7.2,9.40901
20.2,17.372906
20.6,19.840979
15.6,17.452702
16.4,16.477682
20.3,20.449339
13.9,12.7911215
